Age,Gender,IsAlive,DeathYear
17,Male,False, 1987
22,Female,False, 1992
29,Male,False, 1999
15,Female,False, 1985
42,Female,False, 2012
32,Female,False, 2002
28,Female,False, 1998
22,Male,False, 1992
19,Female,False, 1989
53,Female,True, 
16,Female,False, 1986
22,Male,False, 1992
40,Female,False, 2010
33,Male,False, 2003
49,Male,False, 2019
18,Male,False, 1988
31,Female,False, 2001
41,Female,False, 2011
17,Male,False, 1987
53,Female,True, 
38,Female,False, 2008
40,Female,False, 2010
37,Male,False, 2007
40,Female,False, 2010
42,Female,False, 2012
21,Male,False, 1991
53,Female,True, 
48,Male,False, 2018
0,Female,False, 1970
19,Male,False, 1989
46,Female,False, 2016
23,Male,False, 1993
53,Female,True, 
39,Male,False, 2009
32,Male,False, 2002
34,Male,False, 2004
19,Male,False, 1989
53,Male,True, 
53,Male,True, 
12,Male,False, 1982
40,Male,False, 2010
53,Female,True, 
16,Male,False, 1986
24,Male,False, 1994
41,Male,False, 2011
1,Male,False, 1971
53,Male,True, 
47,Male,False, 2017
36,Female,False, 2006
22,Male,False, 1992
33,Male,False, 2003
53,Male,True, 
48,Male,False, 2018
20,Male,False, 1990
51,Male,False, 2021
51,Female,False, 2021
48,Male,False, 2018
18,Male,False, 1988
46,Male,False, 2016
30,Female,False, 2000
37,Female,False, 2007
37,Female,False, 2007
26,Female,False, 1996
29,Female,False, 1999
16,Male,False, 1986
53,Female,True, 
53,Male,True, 
48,Male,False, 2018
4,Female,False, 1974
29,Female,False, 1999
39,Female,False, 2009
11,Male,False, 1981
31,Male,False, 2001
30,Female,False, 2000
30,Female,False, 2000
50,Female,False, 2020
35,Male,False, 2005
6,Male,False, 1976
20,Male,False, 1990
13,Male,False, 1983
32,Female,False, 2002
26,Male,False, 1996
50,Male,False, 2020
28,Female,False, 1998
36,Male,False, 2006
53,Female,True, 
3,Female,False, 1973
49,Female,False, 2019
20,Female,False, 1990
24,Male,False, 1994
42,Female,False, 2012
0,Male,False, 1970
50,Male,False, 2020
34,Female,False, 2004
42,Female,False, 2012
39,Female,False, 2009
34,Male,False, 2004
29,Male,False, 1999
22,Female,False, 1992
28,Female,False, 1998
32,Male,False, 2002
19,Male,False, 1989
38,Female,False, 2008
49,Female,False, 2019
36,Male,False, 2006
53,Female,True, 
1,Male,False, 1971
19,Female,False, 1989
26,Male,False, 1996
53,Male,True, 
17,Male,False, 1987
21,Male,False, 1991
21,Female,False, 1991
53,Male,True, 
28,Male,False, 1998
45,Female,False, 2015
50,Female,False, 2020
29,Male,False, 1999
52,Female,False, 2022
42,Male,False, 2012
43,Female,False, 2013
31,Female,False, 2001
20,Female,False, 1990
37,Female,False, 2007
20,Female,False, 1990
41,Male,False, 2011
41,Female,False, 2011
21,Female,False, 1991
18,Female,False, 1988
48,Male,False, 2018
14,Male,False, 1984
31,Male,False, 2001
43,Female,False, 2013
27,Male,False, 1997
28,Female,False, 1998
44,Male,False, 2014
26,Male,False, 1996
23,Male,False, 1993
51,Female,False, 2021
11,Male,False, 1981
11,Male,False, 1981
53,Male,True, 
53,Male,True, 
47,Male,False, 2017
50,Male,False, 2020
26,Female,False, 1996
44,Female,False, 2014
15,Male,False, 1985
16,Male,False, 1986
37,Female,False, 2007
43,Female,False, 2013
46,Male,False, 2016
19,Female,False, 1989
53,Female,True, 
29,Female,False, 1999
